VARIÁVEL,EXPLICAÇÃO
ESTCIV,Situação conjugal do falecido informada pelos familiares. (1 – Solteiro; 2 – Casado; 3 – Viúvo; 4 – Separado judicialmente/divorciado; 5 – União estável; 9 – Ignorado)
ESTCIVIL,"Estado civil, conforme a tabela: 1: Solteiro 2: Casado 3: Viúvo 4: Separado judicialmente 5: União consensual (versões anteriores) 9: Ignorado"
EXAME,Realização de exame. (1 – sim; 2 – não; 9 – ignorado)
FILHMORT,"Numero de filhos morto ignorados, nao incluindo o proprio. O valor zero corresponde a Nenhum filho morto e está codificado como XX."
FILHVIVOS,Numero de filhos vivos. O valor zero corresponde a ignorado. Nenhum filho vivo esta codificado como XX.
FONTE,fonte de informação utilizada para o preenchimento dos campos 48 e 49. (1 – ocorrência policial; 2 – hospital; 3 – família; 4 – outra; 9 – ignorado)
FONTEINV,Fonte de investigação. (1 – Comitê de Morte Materna e/ou Infantil; 2 – Visita domiciliar / Entrevista família; 3 – Estabelecimento de Saúde / Prontuário; 4 – Relacionado com outros bancos de dados; 5 – S V O; 6 – I M L; 7 – Outra fonte; 8 – Múltiplas fontes; 9 – Ignorado)
FONTES,"Combinado de caracteres conforme o preenchimento dos campos de fontes (FONTENTREV, FONTEAMBUL, FONTEPRONT, FONTESVO, FONTEIML, FONTEPROF): se preenchido caractere “S”, se o campo estiver vazio caractere “X”. (Letras)"
GESTACAO,Faixas de semanas de gestação (1 - Menos de 22 semanas; 2 - 22 a 27 semanas; 3 - 28 a 31 semanas; 4 - 32 a 36 semanas; 5 - 37 a 41 semanas; 6 - 42 e + semanas)
GRAVIDEZ,Tipo de gravidez. (1 – única; 2 – dupla; 3 – tripla e mais; 9 – ignorada)
HORAOBITO,Horário do óbito. (Números (padrão 24 horas 00:00))
IDADE,"Idade do falecido em minutos, horas, dias, meses ou anos. (Idade: composto de dois subcampos. - O primeiro, de 1 dígito, indica a unidade da idade (se 1 = minuto, se 2 = hora, se 3 = mês, se 4 = ano, se = 5 idade maior que 100 anos). - O segundo, de dois dígitos, indica a quantidade de unidades: Idade menor de 1 hora: subcampo varia de 01 e 59 (minutos); De 1 a 23 Horas: subcampo varia de 01 a 23 (horas); De 24 horas e 29 dias: subcampo varia de 01 a 29 (dias); De 1 a menos de 12 meses completos: subcampo varia de 01 a 11 (meses); Anos - subcampo varia de 00 a 99; - 9 - ignorado)"
IDADEMAE,Idade da mãe. (Números)
INSTRMAE,"Instrução da mae, conforme codificação de INSTRUCAO"
INSTRPAI,"Instrução do pai, conforme codificação de INSTRUCAO"
INSTRUCAO,"Instrução, conforme a tabela:"
LINHAA,CIDs informados na Linha A da DO referente ao diagnóstico na Linha A da DO (causa terminal - doença ou estado mórbido que causou diretamente a morte). (Códigos CID 10)
LINHAB,"CIDs informados na Linha B da DO referente ao diagnóstico na Linha B da DO (causa antecedente ou conseqüencial - estado mórbido, se existir, que produziu a causa direta da morte registrada na linha A). (Códigos CID 10)"
LINHAC,"CIDs informados na Linha C da DO referente ao diagnóstico na Linha C da DO (causa antecedente ou conseqüencial - estado mórbido, se existir, que produziu a causa direta da morte registrada na linha A). (Códigos CID 10)"
LINHAD,"CIDs informados na Linha D da DO referente ao diagnóstico na Linha D da DO (causa básica – estado mórbido, se existir, que produziu a causa direta da morte registrada na linha A). (Códigos CID 10)"
LINHAII,CIDs informados na Parte II da DO referente ao diagnóstico na Parte II da DO (causa contribuinte - outras condições significativas que contribuíram para a morte e que não entraram na cadeia definida na Parte I. (Códigos CID 10)
LOCACID,"Indica o local do acidente, se cabivel, conforme a tabela: 0: Ignorado 1: Via Publica 2: Domicilio 3: Outro 4: Local de trabalho"
LOCOCOR,Local de ocorrência do óbito. (1 – hospital; 2 – outros estabelecimentos de saúde; 3 – domicílio; 4 – via pública; 5 – outros; 6 - aldeia indígena; 9 – ignorado).
MORTEPARTO,Momento do óbito em relação ao parto. (1 - antes; 2– durante; 3–depois; 9– Ignorado)
MUNIOCOR,"Municipio de ocorrencia do obito, conforme codificação do IBGE. Veja mais adiante, neste documento, as observações sobre a codificação de municipios"
MUNIRES,"Municipio de residencia, em codificação identica a de MUNIOCOR. Os óbitos de residentes no exterior ou de residencia completamente ignorada foram desprezados nos anos de 1979 a 1992"
NATURAL,País e Unidade da Federação onde falecido nasceu. Se estrangeiro informar País. (Números)
NECROPSIA,Refere-se a execução ou não de necropsia para confirmação do diagnóstico. (1 – sim; 2 – não; 9 – ignorado)
NUDIASOBCO,"Diferença entre a data óbito e a data conclusão da investigação, em dias. (Números)"
NUMERODN,Número da Declaração de Nascido Vivo. (Números)
NUMEROLOTE C,Número do lote. (Números)
NUMEXPOR T,Dado para controle interno
NUMREGCAR T,Número do registro do cartório
OBITOFE1,"Para óbitos femininos em idade fertil, indica se estava gravida no momento da morte, conforme a tabela: 0: Ignorado 1: Sim 2: Não"
OBITOFE2,"Para óbitos femininos em idade fertil, indica se esteve gravida nos 12 meses anteriores a morte, conforme a tabela: 0: Ignorado 1: Sim 2: Não"
OBITOGRAV,Óbito na gravidez. (1 – sim; 2 – não; 9 – ignorado)
OBITOPARTO,Momento do óbito em relação ao parto. (1 - antes; 2– durante; 3–depois; 9– Ignorado)
OBITOPUERP,"Óbito no puerpério. (1 – Sim, até 42 dias após o parto; 2 – Sim, de 43 dias a 1 ano; 3 – Não; 9 – Ignorado)"
OCUP,Tipo de trabalho que o falecido desenvolveu na maior parte de sua vida produtiva. Preenchimento de acordo com Classificação Brasileira de Ocupações – CBO 2002. (Números)
OCUPACAO,"Ocupação, conforme a Classificação Brasileira de Ocupações (CBO)"
OCUPMAE,"Tipo de trabalho exercido habitualmente pela Mãe, de acordo com Classificação Brasileira de Ocupações – CBO 2002. No caso da mãe do falecido(a) ser “aposentada”, preencher com a ocupação habitual anterior."
OCUPPAI,"Ocupação do pai, conforme codificação de OCUPACAO"
ORIGEM,Origem do registro. (1- Oracle; 2 - Banco estadual diponibilizado via FTP; 3 - Banco SEADE; 9 - Ignorado)
PARTO,Tipo de parto. (1 – vaginal; 2 – cesáreo; 9 – ignorado)
PESO,Peso ao nascer em gramas. (Número (quatro algarismos
PESONASC,"Peso ao nascer, em gramas"
QTDFILMORT,Número de filhos mortos. Não incluir a criança cujo óbito se notifica na respectiva DO. (Número; 9 - igonorado)
QTDFILVIVO,Número de filhos vivos. (Número; 9 - igonorado)
RACACOR,Cor informada pelo responsável pelas informações do falecido. (1 – Branca; 2 – Preta; 3 – Amarela; 4 – Parda; 5 – Indígena)
REGISTRO,Numero de registro do óbito
SEMAGESTAC,Semanas de gestação com dois algarismos. (Números com dois algarismos; 9 - igonorado)
SEMANGEST,"Semanas de gestação, conforme as tabelas: Para os anos de 1979 a 1994: 0: Ignorado 1: Menos de 20 semanas 2: 20 a 27 semanas 3: 28 e mais semanas Para os anos a partir de 1995 0: Ignorado 4: Menos de 21 semanas 5: 22 a 27 semanas 6: 28 a 36 semanas 7: 37 a 41 semanas 8: 42 semanas e mai"
SERIESCFAL,Última série escolar concluída pelo falecido. (Números de 1 a 8)
SERIESCMAE,Última série escolar concluída pela mãe. (Números de 1 a 8)
SEXO,"Sexo do falecido. “Ignorado” selecionada em casos especiais como cadáveres mutilados, em estado avançado de decomposição, genitália indefinida ou hermafroditismo. (M – masculino; F – feminino; I - ignorado)"
STCODIFICA,Status de instalação. (Se codificadora (valor: S) ou não (valor: N))
STDOEPIDEM,Status de DO Epidemiológica. (1 - Sim; 0 - Não)
STDONOVA,Status de DO Nova. (1 - Sim; 0 - Não)
TIPOACID,"Indica o tipo de acidente, se cabivel: 0: Ignorado 1: Atropelamento 2: Demais acidentes de transito 3: Queda 4: Afogamento 5: Outros tipos de acidente"
TIPOBITO,"Tipo do óbito Óbito fetal: morte antes da expulsão ou da extração completa do corpo da Mãe, independentemente da duração da gravidez. Indica o óbito o fato de o feto, depois da expulsão do corpo materno, não respirar nem apresentar nenhum outro sinal de vida, como batimentos do coração, pulsações do cordão umbilical ou movimentos efetivos dos músculos de contração voluntária. (1-Fetal; 2-Não Fetal)"
TIPOGRAV,"Tipo de gravidez, conforme a tabela: 0: Ignorado 1: Unica 2: Dupla 3: Triplice 4: Mais de 3"
TIPOPARTO,"Tipo de parto, conforme a tabela: 0: Ignorado 1: Espontaneo 2: Operatorio 3: Forceps 4: Outro"
TIPOVIOL,"Indica o tipo de violencia, se cabivel, conforme a tabela: 0: Ignorado 1: Homicidio 2: Suicidio 3: Acidente 4: Outros tipos de violencia"
TPMORTEOCO,Situação gestacional ou pósgestacional em que ocorreu o óbito. (1 – na gravidez; 2 – no parto; 3 – no abortamento; 4 – até 42 dias após o término do parto; 5 – de 43 dias a 1 ano após o término da gestação ; 8 – não ocorreu nestes períodos; 9 – ignorado)
TPNIVELINV,Tipo de nível investigador. (E – estadual; R- regional; M- Municipal)
TPOBITOCOR,"Momento da ocorrência do óbito. (1-Durante a gestação, 2- Durante o abortamento, 3- Após o abortamento , 4- No parto ou até 1 hora após o parto, 5- No puerpério - até 42 dias após o parto, 6- Entre 43 dias e até 1 ano após o parto, 7- A investigação não identificou o momento do óbito, 8- Mais de um ano após o parto , 9- O óbito não ocorreu nas circunstancias anteriores, Branco - Não investigado)"
TPPOS,Óbito investigado. (1 – sim; 2 – não)
TPRESGINFO,"Informa se a investigação permitiu o resgate de alguma causa de óbito não informado, ou a correção de alguma antes informada. (01 - Não acrescentou 2014 (C 10) nem corrigiu informação; 02 - Sim, permitiu o resgate de novas informações; 03 - Sim, permitiu a correção de alguma das causas informadas originalmente)"
UFINFORM,Código da UF que informou o registro
VERSAOSCB,Versão do seletor de causa básica. (Números)
VERSAOSIST,Versão do sistema. (Números)
